Brand,Description,Size,Classification,VendorNo,n_store_skus,beg_onhand,end_onhand,units_sold,units_purchased,sales_revenue,gross_profit,unit_cost,unit_sell,sales_span_days,gross_margin_pct,daily_demand,days_of_supply,needs_reorder,discontinue_candidate,profitable
58.0,Gekkeikan Black & Gold Sake,750mL,1.0,8320.0,35,281.0,328.0,288.0,3373.0,3741.1200000000003,1068.4800000000002,9.28,12.99,60.0,28.560431100846813,4.8,68.33333333333334,0,0,1
60.0,Canadian Club 1858 VAP,750mL,1.0,12546.0,52,288.0,121.0,124.0,1231.0,1358.76,441.1599999999999,7.4,10.977179487179487,60.0,32.467838323177006,2.066666666666667,58.548387096774185,0,0,1
61.0,Margaritaville Silver,750mL,1.0,8004.0,2,12.0,12.0,24.0,312.0,335.76,81.36000000000001,10.6,13.99,60.0,24.231593995711226,0.4,30.0,0,0,1
62.0,Herradura Silver Tequila,750mL,1.0,1128.0,72,384.0,452.0,162.0,3184.0,6552.38,1907.8399999999997,28.67,39.4952146927147,60.0,29.116748418132033,2.7,167.4074074074074,0,0,1
63.0,Herradura Reposado Tequila,750mL,1.0,1128.0,68,365.0,417.0,131.0,2809.0,5552.6900000000005,1562.4300000000003,30.459999999999997,41.22077147525677,60.0,28.138253711264273,2.183333333333333,190.99236641221376,0,1,1
72.0,No. 3 London Dry Gin,750mL,1.0,9165.0,25,151.0,127.0,19.0,436.0,739.8100000000001,243.72000000000003,26.11,36.64,60.0,32.94359362539031,0.31666666666666665,401.0526315789474,0,1,1
75.0,Three Olives Tomato Vodka,750mL,1.0,7245.0,1,18.0,7.0,3.0,0.0,44.97,12.149999999999999,10.94,14.99,60.0,27.018012008005332,0.05,140.0,0,0,1
77.0,Three Olives Espresso Vodka,750mL,1.0,7245.0,79,1261.0,1746.0,908.0,10876.0,11892.92,2458.7999999999997,10.39,13.067467724703823,60.0,20.674485324041527,15.133333333333333,115.37444933920705,0,0,1
79.0,Three Olives Loopy Vodka,750mL,1.0,7245.0,79,902.0,980.0,416.0,5751.0,6235.84,2233.9200000000005,9.62,14.99,60.0,35.82388258839227,6.933333333333334,141.34615384615384,0,0,1
82.0,Hundred Acre Ark Vy Cab Svgn,750mL,2.0,4425.0,7,24.0,0.0,3.0,3.0,1124.97,379.95000000000005,248.34,374.99000000000007,60.0,33.77423397957279,0.05,0.0,1,0,1
86.0,Don Julio Real Tequila,750mL,1.0,3960.0,11,29.0,16.0,1.0,5.0,299.99,63.78,236.21,299.99,60.0,21.260708690289675,0.016666666666666666,960.0,0,1,1
97.0,Smirnoff Passion Fruit Vodka,Liter,,,3,44.0,12.0,0.0,0.0,0.0,0.0,11.15,14.49,60.0,,0.0,,0,1,0
98.0,Smirnoff Grape Vodka,Liter,,,2,10.0,0.0,0.0,0.0,0.0,0.0,10.42,14.49,60.0,,0.0,,0,0,0
100.0,Chivas Royal Salute,750mL,1.0,17035.0,8,33.0,55.0,7.0,133.0,1119.93,277.90000000000003,120.29,159.99,60.0,24.814050878179888,0.11666666666666667,471.42857142857144,0,1,1
